date,description,amount,currency,channel,category
2025-06-03,OPEN API,-30.97,GBP,card,software
2025-02-24,FACEBOOK ADS,-120.9,GBP,transfer,marketing
2025-06-16,APPLE STORE,-155.61,GBP,card,equipment
2025-02-05,OPEN API,-18.11,GBP,transfer,software
2025-02-26,GOOGLE ADS,-14.66,GBP,direct_debit,marketing
2025-02-18,OFFICE RENT LTD,-1676.27,GBP,card,rent
2025-03-22,RYANAIR FLIGHT,-17.95,GBP,card,travel
2025-05-11,AMAZON,-44.73,GBP,card,equipment
2025-01-16,GOOGLE ADS,-64.25,GBP,direct_debit,marketing
2025-05-22,APPLE STORE,-75.06,GBP,transfer,equipment
2025-05-16,AWS CLOUD,-57.36,GBP,card,software
2025-04-24,FACEBOOK ADS,-158.36,GBP,direct_debit,marketing
2025-04-22,OFFICE RENT LTD,-1288.51,GBP,direct_debit,rent
2025-05-01,STARBUCKS,-145.89,GBP,direct_debit,meals
2025-06-28,UBER TRIP,-116.68,GBP,transfer,travel
2025-01-30,AMAZON,-121.12,GBP,direct_debit,equipment
2025-01-25,AWS CLOUD,-40.11,GBP,direct_debit,software
2025-04-01,GOOGLE ADS,-163.78,GBP,transfer,marketing
2025-05-04,PRET A MANGER,-47.48,GBP,transfer,meals
2025-01-26,WEWORK RENT,-514.21,GBP,transfer,rent
2025-04-29,GOOGLE ADS,-20.13,GBP,card,marketing
2025-02-01,GOOGLE ADS,-57.48,GBP,card,marketing
2025-05-18,AMAZON,-5.52,GBP,direct_debit,equipment
2025-03-23,NOTION LABS,-173.21,GBP,transfer,software
2025-02-06,OFFICE RENT LTD,-707.18,GBP,card,rent
2025-03-21,GITHUB,-15.89,GBP,card,software
2025-06-13,PRET A MANGER,-111.49,GBP,transfer,meals
2025-01-13,RYANAIR FLIGHT,-13.55,GBP,transfer,travel
2025-05-03,APPLE STORE,-101.48,GBP,direct_debit,equipment
2025-01-31,GOOGLE ADS,-157.89,GBP,transfer,marketing
2025-04-03,FACEBOOK ADS,-161.99,GBP,transfer,marketing
2025-04-13,APPLE STORE,-109.34,GBP,direct_debit,equipment
2025-06-12,RYANAIR FLIGHT,-139.94,GBP,transfer,travel
2025-02-23,WEWORK RENT,-936.64,GBP,direct_debit,rent
2025-05-31,UBER TRIP,-30.78,GBP,transfer,travel
2025-05-14,APPLE STORE,-134.01,GBP,direct_debit,equipment
2025-04-18,UBER TRIP,-122.08,GBP,direct_debit,travel
2025-01-21,STARBUCKS,-147.66,GBP,direct_debit,meals
2025-03-01,OFFICE RENT LTD,-1690.87,GBP,direct_debit,rent
2025-02-18,GOOGLE ADS,-31.18,GBP,transfer,marketing
2025-02-19,RYANAIR FLIGHT,-173.9,GBP,transfer,travel
2025-06-07,GOOGLE ADS,-177.76,GBP,direct_debit,marketing
2025-05-25,RYANAIR FLIGHT,-132.19,GBP,card,travel
2025-05-28,APPLE STORE,-71.85,GBP,direct_debit,equipment
2025-01-13,APPLE STORE,-120.92,GBP,card,equipment
2025-02-05,APPLE STORE,-103.7,GBP,direct_debit,equipment
2025-05-16,RYANAIR FLIGHT,-76.94,GBP,direct_debit,travel
2025-06-30,OFFICE RENT LTD,-613.51,GBP,direct_debit,rent
2025-04-16,NOTION LABS,-138.4,GBP,direct_debit,software
2025-02-03,APPLE STORE,-36.27,GBP,transfer,equipment
2025-02-02,WEWORK RENT,-975.39,GBP,direct_debit,rent
2025-02-09,STARBUCKS,-136.16,GBP,transfer,meals
2025-04-29,WEWORK RENT,-1710.96,GBP,card,rent
2025-05-03,RYANAIR FLIGHT,-12.31,GBP,card,travel
2025-03-11,APPLE STORE,-153.29,GBP,transfer,equipment
2025-01-24,TRAINLINE UK,-169.72,GBP,direct_debit,travel
2025-05-30,AMAZON,-25.81,GBP,direct_debit,equipment
2025-03-10,WEWORK RENT,-1306.68,GBP,transfer,rent
2025-01-26,GOOGLE ADS,-197.92,GBP,direct_debit,marketing
2025-04-16,TRAINLINE UK,-89.87,GBP,transfer,travel
2025-04-25,FACEBOOK ADS,-124.46,GBP,direct_debit,marketing
2025-04-16,PRET A MANGER,-36.99,GBP,card,meals
2025-04-06,GOOGLE ADS,-20.61,GBP,direct_debit,marketing
2025-03-18,APPLE STORE,-122.34,GBP,card,equipment
2025-01-25,TRAINLINE UK,-24.65,GBP,transfer,travel
2025-04-29,PRET A MANGER,-138.96,GBP,card,meals
2025-03-17,WEWORK RENT,-1376.92,GBP,transfer,rent
2025-06-24,GOOGLE ADS,-116.62,GBP,direct_debit,marketing
